chlor_a,ss
0.37411845,26.404999
0.36847317,26.4
0.36156037,26.43
0.31223485,27.644999
0.31047168,27.57
0.31509075,27.425
0.3269183,27.255
0.3382946,27.164999
0.34130162,27.109999
0.33091924,27.085
0.32291403,27.085
0.3378249,27.025
0.3379185,26.93
0.3422377,26.855
0.3449512,26.824999
0.34557998,26.83
0.35291284,26.835
0.32179064,26.779999
0.23921444,26.779999
0.31782702,26.81
0.3178276,26.699999
0.32001105,26.609999
0.3403287,26.644999
0.35304672,26.724998
0.349843,26.734999
0.35186353,26.705
0.35784978,26.699999
0.35484916,26.675
0.35299945,26.65
0.35833666,26.644999
0.35635594,26.635
0.36803162,26.654999
0.36807182,26.654999
0.332858,26.71
0.31629384,26.755
0.32842717,26.73
0.3295599,26.724998
0.32437333,26.74
0.32634,26.785
0.33019736,26.724998
0.3535083,26.609999
0.3921932,26.535
0.40602988,26.42
0.40882537,26.314999
0.40922055,26.279999
0.38580802,26.205
0.35444123,26.255
0.34566358,26.285
0.3751642,26.265
0.3868718,26.3
0.3802422,26.23
0.3730131,26.23
0.37100855,26.32
0.37653986,27.445
0.32028055,27.425
0.31869885,27.39
0.31579843,27.34
0.32708165,27.199999
0.33826134,27.14
0.33740672,27.135
0.33476573,27.109999
0.34201193,27.01
0.3738565,26.904999
0.32494974,26.845
0.33808097,26.845
0.34880418,26.855
0.35840026,26.82
0.34055752,26.805
0.2767706,26.8
0.3290085,26.755
0.33947256,26.67
0.34147885,26.685
0.33307594,26.664999
0.3400996,26.675
0.3580497,26.675
0.3632824,26.675
0.37362745,26.705
0.38276136,26.685
0.3880572,26.68
0.39308393,26.675
0.40213394,26.685
0.40207395,26.705
0.38156337,26.695
0.36322787,26.654999
0.36940414,26.689999
0.37629515,26.755
0.351605,26.779999
0.3376949,26.785
0.3323566,26.75
0.3375089,26.715
0.36026597,26.609999
0.3818778,26.51
0.36802894,26.484999
0.36477888,26.355
0.36692622,26.255
0.3628276,26.195
0.36163893,26.275
0.36247757,26.345
0.37966514,26.34
0.3788296,26.4
0.3809765,26.355
0.38128874,26.314999
0.3930906,26.324999
0.41190442,27.539999
0.34305406,27.685
0.32905266,27.585
0.3300143,27.465
0.3565326,27.439999
0.36789334,27.289999
0.34745955,27.22
0.34072268,27.195
0.3411252,27.08
0.33869585,26.994999
0.31277886,26.97
0.2962832,26.98
0.31815907,26.935
0.33063802,26.859999
0.32824212,26.885
0.26408616,26.76
0.29485774,26.724998
0.31660798,26.609999
0.32984594,26.644999
0.34159157,26.705
0.3380081,26.715
0.3503548,26.715
0.3774273,26.724998
0.39122307,26.73
0.39439425,26.715
0.38944685,26.695
0.39725387,26.675
0.40554926,26.63
0.40871844,26.65
0.41587377,26.705
0.4128591,26.755
0.40411922,26.76
0.39586574,26.75
0.3615076,26.769999
0.3422801,26.75
0.3391704,26.74
0.3468937,26.724998
0.35284358,26.689999
0.34769043,26.59
0.34743702,26.455
0.34895808,26.39
0.35791215,26.355
0.37078544,26.32
0.36738622,26.349998
0.36139226,26.425
0.37435892,26.375
0.36836302,26.335
0.3693824,26.324999
0.37378597,26.289999
0.38933203,26.305
0.34138563,27.66
0.3418331,27.605
0.3341637,27.529999
0.34914854,27.519999
0.34845957,27.525
0.3405209,27.435
0.33678332,27.394999
NaN,NaN
NaN,26.865
0.33777297,26.97
0.31785008,26.945
0.32776213,26.81
0.32022262,26.715
0.3276188,26.74
0.32939288,26.775
0.3247931,26.779999
0.3247952,26.75
0.38223282,26.699999
0.32123515,26.805
0.33012614,26.769999
0.32658225,26.81
0.32461998,26.769999
0.36275518,26.75
0.39454997,26.705
0.42260852,26.695
0.42007074,26.675
0.4074478,26.635
0.40085664,26.55
0.39301258,26.5
0.40070826,26.605
0.39822394,26.75
0.37591836,26.789999
0.36133873,26.8
0.3514887,26.785
0.35458732,26.73
0.3591054,26.705
0.36239365,26.64
0.35643208,26.625
0.34837934,26.664999
0.34265503,26.654999
0.32509983,26.494999
0.31804448,26.375
0.36520293,26.41
0.37582138,26.365
0.3748635,26.385
0.38387465,26.39
0.36953467,26.305
0.36878932,26.295
0.34658214,26.34
0.35792866,26.335
0.31325442,27.535
0.30658764,27.494999
0.32110134,27.615
0.33996385,27.715
0.34967563,27.58
0.3551167,27.46
0.3367833,27.425
NaN,NaN
NaN,26.865
0.33777297,26.925
0.35646227,26.9
0.35646033,26.81
0.33199263,26.76
0.31327456,26.805
0.30994752,26.775
0.33192658,26.675
0.36460048,26.695
0.38507715,26.775
0.34852356,26.814999
0.34693018,26.76
0.33145624,26.755
0.3173068,26.72
0.3308585,26.765
0.35312694,26.734999
0.36596426,26.56
0.36514896,26.59
