Pixel-X,Pixel-Y,Longitude,Latitude,chlor_a,sst
2.5,3.5,123.3541616,-4.979166667,0.31694576,27.34
3.5,3.5,123.3958282,-4.979166667,0.3418211,27.32
4.5,3.5,123.4374949,-4.979166667,0.34985182,27.234999
5.5,3.5,123.4791616,-4.979166667,0.3317826,27.164999
6.5,3.5,123.5208282,-4.979166667,0.31742695,27.119999
7.5,3.5,123.5624949,-4.979166667,0.31864226,27.055
8.5,3.5,123.6041616,-4.979166667,0.34833375,26.965
9.5,3.5,123.6458282,-4.979166667,0.3410608,26.955
10.5,3.5,123.6874949,-4.979166667,0.3550237,26.945
11.5,3.5,123.7291616,-4.979166667,0.34209773,26.894999
12.5,3.5,123.7708282,-4.979166667,0.338862,26.805
13.5,3.5,123.8124949,-4.979166667,0.33822888,26.705
14.5,3.5,123.8541616,-4.979166667,0.37170795,26.855
15.5,3.5,123.8958282,-4.979166667,0.37177,26.765
16.5,3.5,123.9374949,-4.979166667,0.37320387,26.765
17.5,3.5,123.9791616,-4.979166667,0.34693846,26.695
18.5,3.5,124.0208282,-4.979166667,0.35911894,26.615
19.5,3.5,124.0624949,-4.979166667,0.35242307,26.585
20.5,3.5,124.1041616,-4.979166667,0.3431448,26.525
21.5,3.5,124.1458282,-4.979166667,0.36222035,26.505
22.5,3.5,124.1874949,-4.979166667,0.3806812,26.55
23.5,3.5,124.2291616,-4.979166667,0.37684608,26.68
24.5,3.5,124.2708282,-4.979166667,0.365021,26.724998
25.5,3.5,124.3124949,-4.979166667,0.37433967,26.785
26.5,3.5,124.3541616,-4.979166667,0.37054482,26.734999
27.5,3.5,124.3958282,-4.979166667,0.38679194,26.64
28.5,3.5,124.4374949,-4.979166667,0.396356,26.564999
29.5,3.5,124.4791616,-4.979166667,0.32358807,26.519999
30.5,3.5,124.5208282,-4.979166667,0.3015879,26.56
31.5,3.5,124.5624949,-4.979166667,0.3072785,26.605
32.5,3.5,124.6041616,-4.979166667,0.31065008,26.59
33.5,3.5,124.6458282,-4.979166667,0.31004307,26.699999
34.5,3.5,124.6874949,-4.979166667,0.51595134,26.609999
35.5,3.5,124.7291616,-4.979166667,0.50111645,26.55
36.5,3.5,124.7708282,-4.979166667,0.3830562,26.465
37.5,3.5,124.8124949,-4.979166667,0.42253774,26.505
38.5,3.5,124.8541616,-4.979166667,0.3414622,26.644999
39.5,3.5,124.8958282,-4.979166667,0.3419356,26.55
40.5,3.5,124.9374949,-4.979166667,0.36072546,26.38
41.5,3.5,124.9791616,-4.979166667,0.3977918,26.375
42.5,3.5,125.0208282,-4.979166667,0.3592852,26.465
43.5,3.5,125.0624949,-4.979166667,0.35817042,26.46
44.5,3.5,125.1041616,-4.979166667,0.33350617,26.48
45.5,3.5,125.1458282,-4.979166667,0.3281802,26.574999
46.5,3.5,125.1874949,-4.979166667,0.33589265,26.545
47.5,3.5,125.2291616,-4.979166667,0.36637175,26.525
48.5,3.5,125.2708282,-4.979166667,0.40658703,26.519999
49.5,3.5,125.3124949,-4.979166667,0.34289953,26.585
0.5,4.5,123.2708282,-5.020833333,0.2868102,27.43
1.5,4.5,123.3124949,-5.020833333,0.29801643,27.365
2.5,4.5,123.3541616,-5.020833333,0.31339583,27.314999
3.5,4.5,123.3958282,-5.020833333,0.3210878,27.279999
4.5,4.5,123.4374949,-5.020833333,0.3160626,27.285
5.5,4.5,123.4791616,-5.020833333,0.31231272,27.224998
6.5,4.5,123.5208282,-5.020833333,0.3120974,27.135
7.5,4.5,123.5624949,-5.020833333,0.32293096,27.029999
8.5,4.5,123.6041616,-5.020833333,0.34324676,26.98
9.5,4.5,123.6458282,-5.020833333,0.34837672,27.039999
10.5,4.5,123.6874949,-5.020833333,0.35420632,27.09
11.5,4.5,123.7291616,-5.020833333,0.35367587,26.994999
12.5,4.5,123.7708282,-5.020833333,0.3552774,26.894999
13.5,4.5,123.8124949,-5.020833333,0.3586415,26.955
14.5,4.5,123.8541616,-5.020833333,0.34027296,26.875
15.5,4.5,123.8958282,-5.020833333,0.31939882,26.82
16.5,4.5,123.9374949,-5.020833333,0.32149634,26.769999
17.5,4.5,123.9791616,-5.020833333,0.31835017,26.654999
18.5,4.5,124.0208282,-5.020833333,0.3675666,26.58
19.5,4.5,124.0624949,-5.020833333,0.36668614,26.545
20.5,4.5,124.1041616,-5.020833333,0.36104736,26.529999
21.5,4.5,124.1458282,-5.020833333,0.36085996,26.46
22.5,4.5,124.1874949,-5.020833333,0.3469898,26.585
23.5,4.5,124.2291616,-5.020833333,0.34454075,26.57
24.5,4.5,124.2708282,-5.020833333,0.35281932,26.619999
25.5,4.5,124.3124949,-5.020833333,0.37375373,26.689999
26.5,4.5,124.3541616,-5.020833333,0.36707246,26.654999
27.5,4.5,124.3958282,-5.020833333,0.36403894,26.675
28.5,4.5,124.4374949,-5.020833333,0.36677963,26.619999
29.5,4.5,124.4791616,-5.020833333,0.3386981,26.605
30.5,4.5,124.5208282,-5.020833333,0.3160726,26.59
31.5,4.5,124.5624949,-5.020833333,0.30956137,26.67
32.5,4.5,124.6041616,-5.020833333,0.3123164,26.724998
33.5,4.5,124.6458282,-5.020833333,0.29082838,26.689999
34.5,4.5,124.6874949,-5.020833333,0.2773596,26.734999
35.5,4.5,124.7291616,-5.020833333,0.31176254,26.72
36.5,4.5,124.7708282,-5.020833333,0.3497179,26.73
37.5,4.5,124.8124949,-5.020833333,0.34132197,26.795
38.5,4.5,124.8541616,-5.020833333,0.32041898,26.64
39.5,4.5,124.8958282,-5.020833333,0.34443247,26.49
40.5,4.5,124.9374949,-5.020833333,0.35913688,26.439999
41.5,4.5,124.9791616,-5.020833333,0.3752478,26.375
42.5,4.5,125.0208282,-5.020833333,0.3698178,26.314999
43.5,4.5,125.0624949,-5.020833333,0.3279892,26.445
44.5,4.5,125.1041616,-5.020833333,0.3136955,26.484999
45.5,4.5,125.1458282,-5.020833333,0.31483185,26.535
46.5,4.5,125.1874949,-5.020833333,0.3155898,26.525
47.5,4.5,125.2291616,-5.020833333,0.31845003,26.555
48.5,4.5,125.2708282,-5.020833333,0.33154616,26.599998
49.5,4.5,125.3124949,-5.020833333,0.33804753,26.58
0.5,5.5,123.2708282,-5.0625,0.28827274,27.55
1.5,5.5,123.3124949,-5.0625,0.28873512,27.445
2.5,5.5,123.3541616,-5.0625,0.29753187,27.349998
3.5,5.5,123.3958282,-5.0625,0.30476138,27.3
4.5,5.5,123.4374949,-5.0625,0.30744863,27.275
5.5,5.5,123.4791616,-5.0625,0.3124763,27.215
6.5,5.5,123.5208282,-5.0625,0.31480274,27.109999
7.5,5.5,123.5624949,-5.0625,0.3247816,27.029999
8.5,5.5,123.6041616,-5.0625,0.33829397,26.939999
9.5,5.5,123.6458282,-5.0625,0.33433554,26.935
10.5,5.5,123.6874949,-5.0625,0.3552902,26.92
11.5,5.5,123.7291616,-5.0625,0.35367593,26.82
12.5,5.5,123.7708282,-5.0625,0.3615067,26.769999
13.5,5.5,123.8124949,-5.0625,0.32442537,26.81
14.5,5.5,123.8541616,-5.0625,0.31260824,26.89
15.5,5.5,123.8958282,-5.0625,0.3288068,26.845
16.5,5.5,123.9374949,-5.0625,0.32339472,26.705
17.5,5.5,123.9791616,-5.0625,0.3353056,26.64
18.5,5.5,124.0208282,-5.0625,0.35459894,26.58
19.5,5.5,124.0624949,-5.0625,0.36274117,26.58
20.5,5.5,124.1041616,-5.0625,0.3639038,26.599998
21.5,5.5,124.1458282,-5.0625,0.33710647,26.64
22.5,5.5,124.1874949,-5.0625,0.32677847,26.64
23.5,5.5,124.2291616,-5.0625,0.35480133,26.615
24.5,5.5,124.2708282,-5.0625,0.35615408,26.574999
25.5,5.5,124.3124949,-5.0625,0.3550827,26.609999
26.5,5.5,124.3541616,-5.0625,0.35916117,26.65
27.5,5.5,124.3958282,-5.0625,0.3875545,26.635
28.5,5.5,124.4374949,-5.0625,0.38003883,26.605
29.5,5.5,124.4791616,-5.0625,0.38012692,26.66
30.5,5.5,124.5208282,-5.0625,0.3630913,26.664999
31.5,5.5,124.5624949,-5.0625,0.29261398,26.689999
32.5,5.5,124.6041616,-5.0625,0.2922965,26.73
33.5,5.5,124.6458282,-5.0625,0.29604456,26.724998
34.5,5.5,124.6874949,-5.0625,0.2965792,26.74
35.5,5.5,124.7291616,-5.0625,0.3069907,26.83
36.5,5.5,124.7708282,-5.0625,0.3358478,26.855
37.5,5.5,124.8124949,-5.0625,0.33746195,26.789999
38.5,5.5,124.8541616,-5.0625,0.34725788,26.609999
39.5,5.5,124.8958282,-5.0625,0.3503365,26.529999
40.5,5.5,124.9374949,-5.0625,0.35933933,26.519999
41.5,5.5,124.9791616,-5.0625,0.3654661,26.505
42.5,5.5,125.0208282,-5.0625,0.36057296,26.455
43.5,5.5,125.0624949,-5.0625,0.33467752,26.48
44.5,5.5,125.1041616,-5.0625,0.32146326,26.51
45.5,5.5,125.1458282,-5.0625,0.32941398,26.529999
46.5,5.5,125.1874949,-5.0625,0.33132067,26.515
47.5,5.5,125.2291616,-5.0625,0.33488,26.494999
48.5,5.5,125.2708282,-5.0625,0.34133992,26.505
49.5,5.5,125.3124949,-5.0625,0.35472053,26.48
0.5,6.5,123.2708282,-5.104166667,0.3035421,27.529999
1.5,6.5,123.3124949,-5.104166667,0.2994906,27.47
2.5,6.5,123.3541616,-5.104166667,0.3085366,27.385
3.5,6.5,123.3958282,-5.104166667,0.32557943,27.279999
4.5,6.5,123.4374949,-5.104166667,0.33561116,27.189999
5.5,6.5,123.4791616,-5.104166667,0.3379511,27.15
6.5,6.5,123.5208282,-5.104166667,0.33486113,27.08
